processing categories in: /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc11-categories.txt
Sales Executive	Advertising Sales Executive
Sheet Metal Engineer	Sheet Metal Mechanic
Industrial Engineering Technician	Industrial Engineer
Electrical Controls Programmer	Electrical Apprentice
RF Optimization Engineer	Radio Frequency Engineer
Lead Technician	Maintenance Technician
Scientist	Research Scientist
Building Engineer	Building Maintenance Worker
Engineering Consultant	Engineering Technician
Communications Engineer	Mechanical Engineer
Lead Test Engineer	Senior Test Engineer
Laboratory Engineer	Laboratory Technician
Paint Process Engineer	Process Engineer
Parts Engineer	Mechanical Engineer
Forensic Structural Engineer	Structural Engineer
Lead Process Engineer	Process Engineer
Tool Designer	Designer Drafter
Project Controls Engineer	Controls Engineer
Manufacturing Planner	Manufacturing Supervisor
Imagery Analyst	Intelligence Analyst
Digital Technician	Engineering Technician
Design Technician	Engineering Technician
Engineering Supervisor	Engineering Technician
Engineer Scientist	Mechanical Engineer
Environmental, Health, and Safety (EHS) Manager	Safety Manager
Transportation Technician	Transportation Supervisor
Technician Supervisor	Pharmacy Technician
Imaging Engineer	Field Service Engineer
Communication Technician	Maintenance Technician
soc17 Accuracy (%): 72.197309417 (161/223)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc19-categories.txt
Social Scientist	Research Scientist
Principal Scientist	Research Scientist
Clinical Trials Assistant	Clinical Trials Manager
Research Consultant	Research Analyst
Quality Assurance Analyst	IT Quality Assurance Analyst
Laboratory Supervisor	Assistant Supervisor
Research Investigator	Research Analyst
Project Scientist	Research Scientist
Hazmat Technician	Laboratory Technician
Field Specialist	Manufacturing Specialist
Analytical Technologist	Medical Technologist
Technical Assistant	Administrative Assistant
Animal Laboratory Technician	Laboratory Technician
Water Technician	Water and Wastewater Engineer
Molecular Biology Scientist	Biological Scientist
Formulation Chemist	Chemist
Paint Laboratory Technician	Laboratory Technician
Transportation Analyst	Business Analyst
Production Scientist	Research Scientist
Medical Laboratory Scientist	Clinical Laboratory Scientist
Development Scientist	Research Scientist
Quality Assurance (QA) Associate	Quality Assurance Engineer
Research Coordinator	Project Coordinator
soc19 Accuracy (%): 79.3388429752 (96/121)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc21-categories.txt
Lead Residential Support Staff	Residential Support Staff
Counselor	Career Counselor
Behavior Analyst	Behavior Specialist
Director of Career Services	Career Services Representative
Residential Supervisor	Residential Counselor
Bilingual Counselor	Career Counselor
Case Management Supervisor	Case Management Specialist
Clinical Case Manager	Case Manager
Education Specialist	Training and Development Specialist
Child Care Worker	Nanny
Multisystemic Therapy (MST) Therapist	Therapy Technician
Mental Health Practitioner	Mental Health Technician
Field Case Manager	Case Manager
Placement Specialist	Recruiter
Lead Clinician	Clinician
Substance Abuse Manager	Substance Abuse Clinician
Bilingual Clinician	Clinician
Counselor Aide	Career Counselor
Clinical Social Worker	Licensed Clinical Social Worker (LCSW)
Health Supervisor	Health Educator
Field Coordinator	Volunteer Coordinator
Residential Assistant	Residential Counselor
Education Consultant	Education Specialist
soc21 Accuracy (%): 84.3930635838 (146/173)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc23-categories.txt
Assistant General Counsel	General Counsel
Title Processor	Title Examiner
Title Assistant	Title Examiner
Regulator and Compliance Attorney	Compliance Attorney
Title Officer	Title Examiner
Claims Attorney	Litigation Attorney
Attorney Editor	Litigation Attorney
Litigation Manager	Litigation Paralegal
Title Clerk	Title Examiner
Leasing Paralegal	Paralegal
Assistant Attorney General	Litigation Attorney
Bankruptcy Manager	Bankruptcy Specialist
Utilities Paralegal	Paralegal
Employment Law Counsel	Employment Law Paralegal
Collections Attorney	Litigation Attorney
Patent Clerk	Patent Attorney
Construction Attorney	Litigation Attorney
Paralegal/Administrator	Paralegal
Bankruptcy Analyst	Bankruptcy Specialist
Nurse Paralegal	Paralegal
Entertainment Attorney	Litigation Attorney
Bankruptcy Supervisor	Bankruptcy Specialist
Environmental Attorney	Litigation Attorney
Chief Counsel	Corporate Counsel
Marketing Paralegal	Paralegal
Litigation Clerk	Litigation Paralegal
Healthcare Paralegal	Paralegal
Technology Attorney	Litigation Attorney
Labor and Employment Paralegal	Labor and Employment Attorney
Research Attorney	Litigation Attorney
Clinical Paralegal	Paralegal
Regional Counsel	Corporate Counsel
Patent Administrator	Patent Attorney
Technology Paralegal	Paralegal
Litigation Consultant	Litigation Paralegal
Paralegal Clerk	Paralegal
Regulatory Counsel	Corporate Counsel
Research Paralegal	Paralegal
soc23 Accuracy (%): 72.9032258065 (113/155)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc25-categories.txt
Heating, Ventilating and Air Conditioning (HVAC) Instructor	Heating, Ventilation, and Air Conditioning (HVAC) Mechanic
Academic Instructor	Instructor
Middle School Mathematics Teacher	High School Mathematics Teacher
Flight Instructor	Instructor
Education Coordinator	Health Educator
Program Director	Program Manager
Flight Simulator Instructor	Flight Instructor
Education Specialist	Training and Development Specialist
Lead Instructor	Instructor
Licensed Practical Nurse (LPN) Instructor	Licensed Practical Nurse (LPN)
Program Coordinator	Case Management Supervisor
Maintenance Instructor	Instructor
Diesel Instructor	Instructor
Certified Nursing Assistant (CNA) Instructor	Certified Nursing Assistant (CNA)
Commercial Driver's License (CDL) Instructor	Commercial Driver's License (CDL) Driver
Clinical Educator	Clinical Coordinator
Classroom Aide	Teacher Aide
Phlebotomy Instructor	Instructor
Department Chair of Nursing	Department Chair
Instructional Aide	Teacher Aide
Licensed Practical Nursing (LPN) Faculty	Licensed Practical Nurse (LPN)
Animation Instructor	Instructor
Research Assistant (RA)	Research Assistant
Instructional Developer	Instructional Designer
Radiology Instructor	Instructor
Clinical Faculty	College Faculty
Bilingual Teacher	Teacher
Technology Coordinator	Technology Instructor
Learning Consultant	Training and Development Specialist
Content Director	Library Director
Technician Supervisor	Pharmacy Technician
Education Consultant	Education Specialist
soc25 Accuracy (%): 76.4705882353 (130/170)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc27-categories.txt
Program Director	Program Manager
Computer Aided Design (CAD) Designer	Design Engineer
Preschool Photographer	Photographer
Content Specialist	Web Specialist
Marketing Assistant	Administrative Assistant
Account Coordinator	Marketing Coordinator
Communications Consultant	Communications Specialist
Brand Advocate	Brand Ambassador
School Photographer	Photographer
Director of Marketing	Marketing Director
Marketing Representative	Marketing Agent
User Interface (UI) Designer	User Interface Developer
Floral Designer	Graphic Designer
Communications Director	Director of Communications
Program Coordinator	Case Management Supervisor
Executive Producer	Producer
Production Coordinator	Production Worker
Field Merchandising Representative	Marketing Representative
Web Producer	Web Developer
Account Specialist	Account Coordinator
Technical Designer	Structural Designer
Assistant Coach	Marketing Assistant
Proofreader	Administrative Assistant
Graphic Design Manager	Graphic Designer
Contract Writer	Writer
Media Relations Manager	Relationship Manager
Multimedia Developer	Multimedia Journalist
Media Consultant	Outside Sales Media Consultant
Information Coordinator	Marketing Coordinator
Digital Producer	Producer
Visual Manager	Sales Manager
Program Supervisor	Residential Supervisor
Communications Operator	Communications Representative
Store Merchandiser	Merchandiser
Communication Technician	Maintenance Technician
soc27 Accuracy (%): 72.1212121212 (119/165)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc29-categories.txt
Clinical Nurse	Nurse Manager
Emergency Room (ER) Nurse	Registered Nurse
Labor and Delivery Nurse	Registered Nurse
Surgical Unit Nurse	Nurse Manager
Rehabilitation Coordinator	Volunteer Coordinator
Rehabilitation Technician	Instrument Technician
Field Nurse	Registered Nurse
Unit Manager Nurse	Unit Manager
Medical Technician	Emergency Medical Technician (EMT)
Admissions Nurse	Registered Nurse
Inpatient Services Nurse	Nutrition Services Aide
Travel Nurse - Cardiac Catheterization Laboratory	Cardiac Catheterization Laboratory Nurse
Patient Care Coordinator	Patient Care Technician
Cardiovascular Operating Room (CVOR) Nurse	Room Manager
Case Management Coordinator	Case Management Specialist
Quality Improvement Nurse	Director of Quality Improvement
Surgical Services Manager	Clinical Services Manager
Patient Care Manager	Care Manager
Medical Program Coordinator	Case Management Supervisor
Resident Care Manager	Resident Manager
Case Manager Supervisor	Case Manager
Therapy Technician	Instrument Technician
Health Coach	Social Work Case Manager
Laboratory Supervisor	Assistant Supervisor
Director of Case Management	Division Director
Nurse Coordinator	Registered Nurse
Therapy Supervisor	Therapy Technician
Nurse Auditor	Registered Nurse
Clinical Trainer	Technical Trainer
Technician Assistant	Maintenance Technician
Clinical Analyst	Business Analyst
Community Health Nurse	Occupational Health Nurse
Director of Nursing	Administrative Director
Health and Wellness Director	Health Educator
Advanced Registered Nurse Practitioner (ARNP)	Registered Nurse
Minimum Data Set (MDS) Nurse	Minimum Data Set (MDS) Coordinator
Nursery Nurse	Nurse Manager
Health Care Coordinator	Health Educator
Obstetrics Nurse	Nurse Manager
Medical-Surgical Nurse	Travel Nurse - Medical/Surgical
Cardiovascular Technologist	Radiological Technologist
Emergency Room (ER) Technician	Operating Room Assistant
Registered Respiratory Therapist	Respiratory Therapist
Pharmacy Supervisor	Pharmacy Technician
Nurse Clinician	Registered Nurse
Collection Technician	Pharmacy Technician
Clinical Consultant	Clinical Coordinator
Certified Nursing Midwife	Certified Nursing Assistant (CNA)
Unit Supervisor	Maintenance Supervisor
Surgery Coordinator	Surgery Assistant
Nurse Care Coordinator	Wound Care Nurse
Night Nurse	Registered Nurse
Imaging Assistant	Medical Assistant
Nurse Manager Intensive Care Unit (ICU)	Intensive Care Unit (ICU) Nurse
Environmental, Health, and Safety (EHS) Manager	Safety Manager
Technician Supervisor	Pharmacy Technician
Records Analyst	Counterintelligence Analyst
Imaging Engineer	Field Service Engineer
soc29 Accuracy (%): 73.3576642336 (201/274)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc31-categories.txt
Environmental Services Aide	Environmental Services Manager
Central Sterile Processing Technician	Sterile Processing Technician
Rehabilitation Technician	Instrument Technician
Rehabilitation Aide	Nurse Aide
Radiology Assistant	Medical Assistant
Instrument Technician	Instrumentation Technician
Operating Room Assistant	Room Manager
Ophthalmic Assistant	Medical Assistant
Environmental Services Assistant	Environmental Services Manager
Certified Home Health Aide	Home Health Aide (HHA)
Surgical Aide	Nurse Aide
Pathology Assistant	Laboratory Assistant
Nutrition Assistant	Nutrition Services Worker
Transportation Aide	Nurse Aide
Surgery Scheduler	Scheduler
soc31 Accuracy (%): 79.5180722892 (66/83)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc33-categories.txt
Loss Prevention Lead	Loss Prevention Manager
Bank Protection Officer	Custom Protection Officer
Loss Prevention Associate	Loss Prevention Manager
Security Specialist	Information Security Specialist
Facility Security Officer	Security Officer
Event Security Officer	Security Officer
Security Coordinator	Security Officer
Security Dispatcher	Dispatcher
Assistant Shift Supervisor	Restaurant Shift Supervisor
Security Assistant	Security Officer
Healthcare Security Officer	Security Officer
Lead Security Officer	Security Officer
Residential Security Officer	Security Officer
Security Receptionist	Security Officer
Security Analyst	Information Security Analyst
Investigative Analyst	Research Analyst
Protection Manager	Training Manager
Records Analyst	Counterintelligence Analyst
soc33 Accuracy (%): 77.1739130435 (71/92)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc35-categories.txt
Dish Washer	Washer
Shift Manager	Sales Manager
Restaurant Shift Supervisor	Restaurant Supervisor
Food Service Foreman	Food Service Worker
Food Service Assistant	Food Service Worker
Food Production Manager	Production Manager
Food Service Technician	Food Service Worker
Room Supervisor	Production Supervisor
Assistant Chef	Chef
Assistant Shift Manager	Speciality Coffee Assistant Manager
Lead Cook	Cook
Server Assistant	Server
Food Clerk	Clerk
Assistant Supervisor	Production Supervisor
soc35 Accuracy (%): 83.5051546392 (81/97)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc37-categories.txt
Environment Services Technician	Maintenance Technician
Director of Housekeeping	Housekeeping Supervisor
Landscape Foreman	Landscape Laborer
Environmental Services Director	Health Services Director
Housekeeping Coordinator	Housekeeping Supervisor
Maintenance Supervisor	Maintenance Manager
Housekeeping Inspector	Housekeeping Supervisor
soc37 Accuracy (%): 88.7096774194 (55/62)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc39-categories.txt
Activities Director	Activity Director
Service Porter	Porter
Recreation Specialist	Activity Director
Recreation Director	Activity Director
Fitness Consultant	Fitness Instructor
Beauty Skin Care Consultant	Skin Care Instructor
Housekeeping Aide	Housekeeping Supervisor
Life Skills Trainer	Life Skills Worker
Slot Technician Supervisor	Technician Supervisor
Valet	Valet Attendant
Personal Care Coordinator	Personal Care Aide
Dog Groomer	Groomer
Recreation Attendant	Recreation Assistant
Recreation Manager	Recreation Assistant
Fitness Attendant	Room Attendant
Wellness Coordinator	Project Coordinator
Hair Stylist Assistant	Hair Stylist
Caretaker	Property Caretaker
Residential Assistant	Residential Counselor
soc39 Accuracy (%): 73.5294117647 (75/102)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc41-categories.txt
Sales Associate	Retail Sales Associate
Store Manager	Sales Manager
Real Estate Sales Representative	Sales Representative
Field Sales Manager	Sales Manager
Technical Sales Representative	Sales Representative
Store Supervisor	Sales Supervisor
Counter Sales Representative	Sales Representative
Private Banker	Brand Manager
Leasing Consultant	Leasing Manager
Universal Banker	Bank Teller
B2B Sales Consultant	B2B Sales Representative
Customer Service Associate	Customer Service Representative
Sales Counselor	Sales Representative
Client Associate	Client Representative
Mortgage Sales Assistant	Mortgage Assistant
Inbound Sales Representative	Sales Representative
Clinical Sales Consultant	Sales Consultant
Call Center Sales Representative	Sales Representative
Product Sales Specialist	Sales Assistant
Technical Services Representative	Technical Services Associate
Sales Technician	Sales Representative
Sales Advisor	Sales Representative
Retail Technician	Retail Sales Associate
Retail Supervisor	Restaurant Supervisor
Retail Consultant	Retail Sales Associate
Merchandising Assistant	Research Assistant
Insurance Consultant	Insurance Sales Agent
Field Sales Consultant	Sales Consultant
Merchandising Representative	Marketing Representative
Director of Advertising	Sales Director
Travel Counselor	Travel Agent
Shop Manager	Manufacturing Manager
Program Supervisor	Residential Supervisor
Grocery Clerk	Clerk
Account Consultant	Account Executive
Store Clerk	Clerk
Sales Officer	Sales Representative
Food Clerk	Clerk
Assistant Supervisor	Production Supervisor
soc41 Accuracy (%): 71.0344827586 (103/145)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc43-categories.txt
Automotive Sales Service Advisor	Sales Supervisor
Warehouse Associate	Warehouse Worker
Account Coordinator	Marketing Coordinator
Human Resources (HR) Coordinator	Project Coordinator
Warehouse Clerk	Warehouse Worker
Claims Representative	Compensation Analyst
Mortgage Specialist	Specialist Procurement
Human Resources (HR) Representative	Human Resources (HR) Manager
Client Service Associate	Client Service Coordinator
Claims Specialist	Insurance Claims Specialist
Pricing Coordinator	Administrative Coordinator
Medical Collector	Collector
Administrative Associate	Administrative Assistant
Admissions Coordinator	Admissions Advisor
Insurance Specialist	Compensation Analyst
Billing Analyst	Billing Specialist
Field Service Representative	Customer Service Representative
Shipping and Receiving Associate	Warehouse Worker
Executive Administrative Assistant	Administrative Assistant
Title Clerk	Title Examiner
Purchasing Assistant	Senior Buyer
Underwriting Assistant	Administrative Assistant
Medical Office Assistant	Office Assistant
Office Associate	Retail Sales Associate
Customer Service Associate	Customer Service Representative
Litigation Secretary	Secretary
Bilingual Call Center Agent	Call Center Agent
Client Representative	Marketing Representative
Records Clerk	Medical Records Clerk
Warehouse Technician	Warehouse Worker
Systems Clerk	Clerk
Specialist Assistant	Behavior Specialist
Review Coordinator	Review Nurse
Procurement Assistant	Procurement Analyst
Office Technician	Office Manager
Library Assistant	Administrative Assistant
General Clerk	Clerk
Financial Assistant	Administrative Assistant
Customer Service Technician	Service Technician
Collections Analyst	Collections Specialist
