processing categories in: /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc11-categories.txt
Sales Executive	Advertising Sales Executive
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc19-categories.txt
Clinical Trials Assistant	Clinical Trials Manager
Quality Assurance Analyst	IT Quality Assurance Analyst
Laboratory Supervisor	Control Supervisor
Field Specialist	Field Engineer
Analytical Technologist	Medical Technologist
Technical Assistant	Administrative Assistant
Water Technician	Water and Wastewater Engineer
Molecular Biology Scientist	Biological Scientist
Formulation Chemist	Chemist
Transportation Analyst	Financial Analyst
Quality Assurance (QA) Associate	Quality Assurance (QA) Technician
soc19 Accuracy (%): 90.0826446281 (109/121)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc21-categories.txt
Lead Residential Support Staff	Residential Support Staff
Counselor	Career Counselor
Career Coach	Job Coach
Education Specialist	Training and Development Specialist
Child Care Worker	Nanny
Multisystemic Therapy (MST) Therapist	Therapy Technician
Mental Health Practitioner	Mental Health Technician
Field Case Manager	Case Manager
Placement Specialist	Recruiter
Clinical Social Worker	Licensed Clinical Social Worker (LCSW)
soc21 Accuracy (%): 93.6416184971 (162/173)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc23-categories.txt
Regulator and Compliance Attorney	Compliance Attorney
Corporate and Finance Attorney	Corporate Attorney
Project Attorney	Project Manager
Employment Law Counsel	Employment Law Paralegal
Paralegal/Administrator	Legal Administrator
Litigation Consultant	Legal Consultant
Operations Counsel	Operations Analyst
soc23 Accuracy (%): 94.1935483871 (146/155)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc25-categories.txt
Heating, Ventilating and Air Conditioning (HVAC) Instructor	HVAC Refrigeration Technician
Middle School Mathematics Teacher	High School Mathematics Teacher
Education Coordinator	Health Educator
Program Director	Program Manager
Flight Simulator Instructor	Flight Instructor
Education Specialist	Training and Development Specialist
Licensed Practical Nurse (LPN) Instructor	Licensed Practical Nurse (LPN)
Program Coordinator	Case Management Supervisor
Certified Nursing Assistant (CNA) Instructor	Certified Nursing Assistant (CNA)
Commercial Driver's License (CDL) Instructor	Commercial Driver's License (CDL) Driver
Clinical Educator	Nurse Educator
Classroom Aide	Teacher Aide
Department Chair of Nursing	Department Chair
Instructional Aide	Teacher Aide
Licensed Practical Nursing (LPN) Faculty	Licensed Practical Nurse (LPN)
Research Assistant (RA)	Research Assistant
Learning Consultant	Training and Development Specialist
soc25 Accuracy (%): 85.2941176471 (145/170)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc27-categories.txt
Program Director	Program Manager
Computer Aided Design (CAD) Designer	Design Engineer
Content Specialist	Content Developer
Marketing Assistant	Administrative Assistant
Brand Advocate	Brand Ambassador
Director of Marketing	Marketing Director
Marketing Representative	Marketing Agent
User Interface (UI) Designer	User Interface Developer
Communications Director	Director of Communications
Program Coordinator	Case Management Supervisor
Web Producer	Web Developer
Account Specialist	Account Coordinator
Technical Designer	Structural Designer
Proofreader	Administrative Assistant
Media Relations Manager	Relationship Manager
Media Consultant	Outside Sales Media Consultant
Visual Manager	Sales Manager
Program Supervisor	Clinical Supervisor
soc27 Accuracy (%): 84.8484848485 (140/165)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc29-categories.txt
Clinical Nurse	Nurse Manager
Emergency Room (ER) Nurse	Registered Nurse
Surgical Unit Nurse	Nurse Manager
Rehabilitation Coordinator	Volunteer Coordinator
Unit Manager Nurse	Nurse Manager
Medical Technician	Emergency Medical Technician (EMT)
Inpatient Services Nurse	Nurse Aide
Travel Nurse - Cardiac Catheterization Laboratory	Cardiac Catheterization Laboratory Nurse
Cardiovascular Operating Room (CVOR) Nurse	Room Manager
Case Management Coordinator	Case Management Specialist
Quality Improvement Nurse	Director of Quality Improvement
Surgical Services Manager	Clinical Services Manager
Patient Care Manager	Director of Patient Care
Medical Program Coordinator	Medical Social Worker
Resident Care Manager	Resident Manager
Case Manager Supervisor	Case Manager
Therapy Technician	Physical Therapy Technician
Health Coach	Social Work Case Manager
Laboratory Supervisor	Control Supervisor
Director of Case Management	Regional Director
Nurse Coordinator	Nurse Care Coordinator
Clinical Trainer	Systems Trainer
Technician Assistant	Maintenance Assistant
Clinical Analyst	Clinical Systems Analyst
Registrar	Medical Supervisor
Health and Wellness Director	Director of Career Services
Advanced Registered Nurse Practitioner (ARNP)	Registered Nurse
Clinical Director	Clinical Manager
Nursery Nurse	Nurse Manager
Health Care Coordinator	Health Educator
Obstetrics Nurse	Nurse Manager
Medical-Surgical Nurse	Travel Nurse - Medical/Surgical
Cardiovascular Technologist	Radiological Technologist
Emergency Room (ER) Technician	Operating Room Assistant
Registered Respiratory Therapist	Respiratory Therapist
Clinical Reviewer	Clinical Supervisor
Certified Nursing Midwife	Certified Nursing Assistant (CNA)
Unit Supervisor	Maintenance Supervisor
Imaging Assistant	Patient Transporter
Nurse Manager Intensive Care Unit (ICU)	Intensive Care Unit (ICU) Nurse
Environmental, Health, and Safety (EHS) Manager	Safety Manager
Imaging Engineer	Field Service Engineer
soc29 Accuracy (%): 80.2919708029 (220/274)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc31-categories.txt
Environmental Services Aide	Environmental Services Manager
Central Sterile Processing Technician	Sterile Processing Technician
Instrument Technician	Instrumentation Technician
Operating Room Assistant	Room Manager
Environmental Services Assistant	Environmental Services Director
Rehabilitation Assistant	Activities Assistant
Certified Home Health Aide	Home Health Aide (HHA)
Pathology Assistant	Laboratory Assistant
Nutrition Assistant	Nutrition Services Worker
soc31 Accuracy (%): 87.9518072289 (73/83)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc33-categories.txt
Security Specialist	Information Security Specialist
Security Dispatcher	Dispatcher
Assistant Shift Supervisor	Assistant Supervisor
Security Analyst	Information Security Analyst
Investigative Analyst	Research Analyst
Protection Manager	Risk Manager
soc33 Accuracy (%): 90.2173913043 (83/92)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc35-categories.txt
Dish Washer	Washer
Shift Manager	Sales Manager
Restaurant Shift Supervisor	Restaurant Supervisor
Food Production Manager	Production Manager
Room Supervisor	Production Supervisor
Assistant Shift Manager	Speciality Coffee Assistant Manager
Food Clerk	Produce Clerk
soc35 Accuracy (%): 90.7216494845 (88/97)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc37-categories.txt
Environment Services Technician	Maintenance Technician
Environmental Services Director	Maintenance Director
Maintenance Supervisor	Maintenance Manager
Housekeeping Room Inspector	Housekeeping Inspector
soc37 Accuracy (%): 93.5483870968 (58/62)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc39-categories.txt
Activities Director	Activity Director
Service Porter	Porter
Recreation Specialist	Activity Director
Recreation Director	Activity Director
Housekeeping Aide	Housekeeper
Life Skills Trainer	Life Skills Worker
Slot Technician Supervisor	Technician Supervisor
Utility Aide	Food Service Assistant
Valet	Valet Attendant
Dog Groomer	Groomer
Recreation Attendant	Recreation Assistant
Recreation Manager	Recreation Assistant
Fitness Attendant	Room Attendant
Hair Stylist Assistant	Hair Stylist
Caretaker	Property Caretaker
soc39 Accuracy (%): 79.4117647059 (81/102)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc41-categories.txt
Sales Associate	Retail Sales Associate
Store Manager	Sales Manager
Real Estate Sales Representative	Sales Representative
Field Sales Manager	Sales Manager
Technical Sales Representative	Sales Representative
Store Supervisor	Sales Supervisor
Counter Sales Representative	Sales Representative
Private Banker	Commercial Banker
Leasing Consultant	Leasing Manager
Universal Banker	Bank Teller
B2B Sales Consultant	B2B Sales Representative
Client Associate	Client Service Associate
Mortgage Sales Assistant	Mortgage Assistant
Call Center Sales Representative	Sales Representative
Product Sales Specialist	Customer Service Specialist
Technical Services Representative	Technical Services Associate
Sales Planner	Demand Manager
Retail Supervisor	Restaurant Supervisor
Merchandising Assistant	Research Assistant
Merchandising Representative	Marketing Representative
Shop Manager	Fabricator
Program Supervisor	Clinical Supervisor
Food Clerk	Produce Clerk
soc41 Accuracy (%): 82.7586206897 (120/145)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc43-categories.txt
Automotive Sales Service Advisor	Sales Supervisor
Warehouse Associate	Warehouse Worker
Human Resources (HR) Coordinator	Human Resources (HR) Manager
Warehouse Clerk	Warehouse Worker
Claims Representative	Compensation Analyst
Mortgage Specialist	Mortgage Underwriter
Human Resources (HR) Representative	Human Resources (HR) Generalist
Loan Documentation Specialist	Documentation Specialist
Claims Specialist	Insurance Claims Specialist
Medical Collector	Collector
Admissions Coordinator	Admissions Advisor
Insurance Specialist	Insurance Claims Specialist
Executive Administrative Assistant	Administrative Assistant
Purchasing Assistant	Senior Buyer
Medical Office Assistant	Office Assistant
Office Associate	Retail Sales Associate
Bilingual Call Center Agent	Call Center Agent
Client Representative	Marketing Representative
Records Clerk	Medical Records Clerk
Specialist Assistant	Activities Assistant
Review Coordinator	Utilization Review Nurse
Procurement Assistant	Procurement Analyst
Medical Billing and Coding	Billing Specialist
Customer Service Technician	Service Technician
Access Coordinator	Volunteer Coordinator
Project Scheduler	Construction Scheduler
Medical Representative	Medical Assistant
Distribution Technician	Pipeline Technician
Client Service Officer	Trust Officer
Billing Accountant	Billing Analyst
Audit Supervisor	Tax Supervisor
Account Supervisor	Program Supervisor
Production Warehouse	Warehouse Assembler
soc43 Accuracy (%): 88.6287625418 (265/299)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc45-categories.txt
Cable Puller	Cable Technician
Farm Equipment Operator	Equipment Operator
Harvest Supervisor	Harvest Worker
Farm Manager	Project Manager
Vineyard Equipment Operator	Farm Equipment Operator
Produce Inspector	Packer Inspector
soc45 Accuracy (%): 68.8888888889 (31/45)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc47-categories.txt
Construction Project Coordinator	Construction Coordinator
Finish Carpenter	Carpenter
Master Plumber	Plumber
Framing Carpenter	Carpenter
Form Carpenter	Carpenter
Commercial Carpenter	Carpenter
Field Supervisor	Systems Supervisor
Carpenter Helper	Carpenter
Lead Carpenter	Carpenter
Crew Leader	Maintenance Technician
Rough Carpenter	Carpenter
Installation Manager	Maintenance Manager
Solar Panel Installer	Solar Photovoltaic (PV) Installer
General Foreman	Foreman
Construction Engineer and Inspection (CEI) Inspector	Construction Engineer
Instrument Fitter	Structural Fitter
Facilities Electrician	Maintenance Electrician
Jack Operator	Forklift Operator
Water Proofer	Water and Wastewater Engineer
Electrical Maintenance Technician	Manufacturing Maintenance Technician
Electrical Inspector	Electrical Assembler
Air Conditioning (AC) Electrician	Maintenance Mechanic
Heating, Ventilation, and Air Conditioning (HVAC) Duct Installer	Heating, Ventilation, and Air Conditioning (HVAC) Mechanic
Drywall Carpenter	Carpenter
Carpenter Foreman	Carpenter
Carpenter Assembler	Carpenter
Lead Installer	Security Systems Installer
Journeyman Carpenter	Carpenter
Well Test Operator	Senior Test Engineer
Project Supervisor	Quality Supervisor
Maintenance Carpenter	Carpenter
Tradesman	Maintenance Mechanic
soc47 Accuracy (%): 80.0 (136/170)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc49-categories.txt
Field Service Technician	Maintenance Technician
Helicopter Mechanic	Maintenance Mechanic
Structures Mechanic	Maintenance Mechanic
Equipment Mechanic	Maintenance Mechanic
Aircraft Mechanic	Maintenance Mechanic
Trailer Mechanic	Maintenance Mechanic
Maintenance Machinist	CNC Machinist
Field Service Technician	Maintenance Technician
Electronic Technician	Electronics Technician
Airframe Powerplant Technician	Avionics Technician
HVAC Journeyman	HVAC Refrigeration Technician
Field Service Engineer	Field Engineer
Instrumentation and Electrical Technician	Instrumentation Technician
Wireless Technician	Network Technician
Shop Helper	Maintenance Assistant
Assembly Mechanic	Mechanical Assembler
Trades Helper	Maintenance Assistant
Refrigeration Technician	HVAC Refrigeration Technician
Service Technician	General Service Technician
Compressor Mechanic	Maintenance Mechanic
Plant Operations Technician	Plant Operator
Utilities Worker	Utilities Technician
Shop Manager	Fabricator
soc49 Accuracy (%): 83.850931677 (135/161)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc51-categories.txt
Manual Machinist	CNC Machinist
Quality Assurance Inspector	Quality Inspector
Maintenance Supervisor	Maintenance Manager
Quality Technician	Quality Assurance Engineer
Tool and Die Technician	Tool Maker
Maintenance Machinist	CNC Machinist
Shop Foreman	Foreman
Production Specialist	Control Specialist
Tool and Die Machinist	CNC Machinist
Certified Welding Inspector	Welder
Machinist Mate	CNC Machinist
Lab Technician	Laboratory Technician
Operations Coordinator	Logistics Coordinator
Conventional Machinist	CNC Machinist
Manufacturing Lead	Manufacturing Team Lead
Quality Specialist	Quality Control Specialist
Tooling Manager	Tool Maker
Quality Lead	Quality Control Lead
Warehouse Assembler	Packer
Machine Technician	Machine Operator
Operator Assistant	Research Assistant
Machine Inspector	NDT Inspector
Operations Processor	Operations Assistant
soc51 Accuracy (%): 86.5591397849 (161/186)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc53-categories.txt
Driver Helper	Delivery Driver
Laborer	General Laborer
Regional Truck Driver	Truck Driver
Distribution Center Supervisor	Distribution Center Manager
Distribution Center Manager	Distribution Manager
Clamp Forklift Operator	Forklift Operator
High Reach Forklift Operator	Forklift Operator
Warehouse Production Operator	Production Operator
Assistant Warehouse Manager	Warehouse Manager
Truck Unloader	Warehouse Unloader
Pipeline Technician	Field Technician
Production Warehouse	Warehouse Assembler
Controller	Assistant Controller
soc53 Accuracy (%): 87.1794871795 (102/117)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc55-categories.txt
Center Standards and Incentives Officer	Chief Nursing Officer
Radar Technician	Electronics Technician
Weapons Technician	Maintenance Technician
soc55 Accuracy (%): 76.1904761905 (16/21)
Total Accuracy (%): 85.538005923 (3466/4052)
